iter	Passed	Remaining
301	2031	1291
302	2036	1284
303	2042	1276
304	2050	1270
305	2055	1263
306	2064	1257
307	2070	1250
308	2076	1243
309	2082	1235
310	2087	1228
311	2095	1222
312	2101	1215
313	2109	1209
314	2115	1202
315	2121	1195
316	2130	1189
317	2136	1182
318	2144	1176
319	2149	1168
320	2158	1163
321	2164	1156
322	2173	1150
323	2179	1143
324	2185	1136
325	2193	1130
326	2199	1123
327	2207	1117
328	2214	1110
329	2222	1104
330	2229	1098
331	2238	1092
332	2245	1085
333	2255	1080
334	2262	1073
335	2271	1067
336	2277	1061
337	2286	1055
338	2292	1048
339	2299	1041
340	2306	1034
341	2313	1028
342	2320	1021
343	2326	1014
344	2334	1008
345	2340	1001
346	2347	994
347	2353	987
348	2359	980
349	2365	973
350	2371	966
351	2376	958
352	2382	951
353	2387	944
354	2393	937
355	2398	929
356	2404	922
357	2410	915
358	2416	908
359	2421	901
360	2427	894
361	2432	886
362	2438	879
363	2443	872
364	2449	865
365	2455	858
366	2460	851
367	2466	844
368	2473	837
369	2478	830
370	2484	823
371	2490	816
372	2496	809
373	2501	802
374	2507	795
375	2513	788
376	2520	782
377	2525	775
378	2531	768
379	2537	761
380	2542	754
381	2548	747
382	2553	740
383	2559	733
384	2565	726
385	2570	719
386	2576	712
387	2581	705
388	2587	698
389	2592	691
390	2598	684
391	2604	677
392	2610	670
393	2615	663
394	2621	657
395	2626	650
396	2632	643
397	2637	636
398	2643	629
399	2649	622
400	2655	615
401	2661	609
402	2667	602
403	2672	595
404	2679	588
405	2684	581
406	2690	575
407	2696	568
408	2701	561
409	2707	554
410	2713	547
411	2718	541
412	2724	534
413	2729	527
414	2735	520
415	2740	513
416	2746	507
417	2752	500
418	2758	493
419	2764	487
420	2770	480
421	2775	473
422	2781	466
423	2786	460
424	2792	453
425	2797	446
426	2803	439
427	2809	433
428	2816	426
429	2822	420
430	2827	413
431	2833	406
432	2839	400
433	2845	393
434	2851	386
435	2857	380
436	2863	373
437	2869	366
438	2875	360
439	2880	353
440	2886	346
441	2893	340
442	2899	333
443	2905	327
444	2911	320
445	2917	313
446	2923	307
447	2929	300
448	2934	294
449	2940	287
450	2946	280
451	2951	274
452	2956	267
453	2962	261
454	2967	254
455	2973	247
456	2979	241
457	2984	234
458	2990	228
459	2995	221
460	3001	214
461	3008	208
462	3014	201
463	3020	195
464	3026	188
465	3032	182
466	3038	175
467	3043	169
468	3049	162
469	3055	156
470	3060	149
471	3066	142
472	3071	136
473	3077	129
474	3082	123
475	3088	116
476	3093	110
477	3099	103
478	3105	97
479	3110	90
480	3117	84
481	3123	77
482	3128	71
483	3134	64
484	3139	58
485	3144	51
486	3150	45
487	3155	38
488	3161	32
489	3166	25
490	3172	19
491	3180	12
492	3186	6
493	3193	0
